               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10306,            0.024239,                   0,             0.06781,            0.011628,            0.022812,           0.0063787,            0.086759,             0.01378,                   0,            0.070357,           0.0032937,           0.0032937
                   1,            0.076292,            0.018506,                   0,             0.20482,            0.087209,             0.08671,            0.027146,            0.079182,            0.011395,                   0,            0.040313,           0.0065832,           0.0065832
                   2,            0.066496,            0.016794,                   0,             0.54152,                0.25,             0.24374,             0.08685,            0.063604,            0.012142,                   0,            0.010226,           0.0098288,           0.0098288
                   3,            0.057054,            0.015814,                   0,              0.5831,             0.33721,             0.36435,              0.1591,            0.055459,             0.01152,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.051538,            0.014461,                   0,             0.57867,             0.37791,             0.43233,             0.19299,            0.055262,           0.0098422,                   0,            0.009802,            0.009802,            0.009802
                   5,             0.04916,            0.012326,                   0,             0.67673,             0.47674,             0.56203,             0.21708,            0.053966,           0.0086943,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.047095,            0.010706,                   0,             0.63682,             0.55052,              0.5706,             0.28109,            0.048302,           0.0084314,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.043808,           0.0098507,                   0,             0.70664,             0.61047,             0.62037,             0.26738,            0.048706,           0.0079376,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.043759,            0.009188,                   0,             0.70284,             0.61047,             0.67772,             0.32163,            0.046627,            0.007738,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.041303,           0.0089466,                   0,             0.60326,             0.66279,             0.65196,             0.28147,            0.048272,           0.0074094,                   0,            0.009472,            0.009472,            0.009472
                  10,             0.03997,           0.0083961,                   0,             0.81722,             0.67587,             0.74917,             0.31702,            0.046436,           0.0071193,                   0,            0.009406,            0.009406,            0.009406
                  11,             0.03877,           0.0083069,                   0,             0.70848,             0.64535,              0.6862,             0.28602,            0.048585,           0.0075656,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.038638,           0.0080341,                   0,              0.7883,             0.67113,             0.73867,              0.3501,            0.042177,           0.0074635,                   0,            0.009274,            0.009274,            0.009274
                  13,             0.03859,           0.0079834,                   0,             0.79757,             0.64141,             0.73063,             0.32281,            0.044717,            0.007227,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.036527,           0.0080026,                   0,             0.87953,             0.67442,             0.76433,             0.32244,            0.044976,           0.0071325,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.036264,           0.0082945,                   0,             0.80982,             0.71512,             0.75367,             0.34388,             0.04388,           0.0070301,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.035691,           0.0077401,                   0,             0.86981,             0.74419,             0.79542,             0.36272,            0.042413,           0.0072251,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.035158,           0.0079083,                   0,             0.83707,             0.74675,             0.77598,             0.36774,            0.041167,           0.0065842,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.035108,            0.007304,                   0,             0.77878,                0.75,             0.78284,             0.37239,            0.041665,           0.0067363,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.033751,           0.0072473,                   0,              0.8972,             0.71041,             0.77425,             0.36784,            0.040244,            0.006705,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.033752,           0.0075414,                   0,             0.81234,             0.78019,             0.78534,             0.36922,             0.04095,           0.0066468,                   0,            0.008746,            0.008746,            0.008746
                  21,             0.03218,           0.0077656,                   0,             0.83531,              0.7093,             0.77254,             0.33732,            0.043318,           0.0066549,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.033534,           0.0074915,                   0,             0.82506,             0.76744,             0.81247,             0.40025,            0.041113,           0.0067074,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.032327,           0.0071416,                   0,              0.8053,              0.7907,             0.83066,             0.38961,            0.039423,            0.006532,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.031159,           0.0069058,                   0,             0.81079,             0.71512,             0.78257,             0.36155,            0.041646,           0.0067546,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.032387,           0.0070702,                   0,             0.87735,             0.74419,             0.82693,             0.37259,            0.041011,           0.0067135,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.032314,           0.0069496,                   0,              0.8826,             0.73256,             0.82241,             0.37652,            0.042438,           0.0067048,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.029953,           0.0069208,                   0,             0.83501,                0.75,              0.7824,             0.40309,             0.03951,           0.0065358,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.030657,           0.0071819,                   0,              0.8288,             0.75581,              0.8173,             0.37957,            0.043109,            0.006388,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.029589,           0.0068066,                   0,             0.81642,             0.74982,              0.8063,             0.38893,            0.041338,           0.0065831,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.029449,           0.0068849,                   0,             0.86999,             0.77813,             0.85312,              0.3969,            0.039936,            0.006514,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.029569,           0.0068328,                   0,              0.8613,             0.72206,             0.79275,             0.39026,            0.041117,           0.0066021,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.029774,           0.0070874,                   0,             0.82102,             0.78488,             0.82589,             0.39531,            0.040901,           0.0064868,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.030808,           0.0069327,                   0,             0.82364,             0.74419,             0.81846,             0.39456,            0.041821,           0.0064555,                   0,            0.007888,            0.007888,            0.007888
                  34,             0.02949,            0.006973,                   0,             0.83038,             0.77326,             0.78601,             0.36987,            0.042497,           0.0063891,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.029403,           0.0066883,                   0,             0.84295,             0.78013,             0.81449,              0.3924,            0.040923,           0.0065557,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.029849,           0.0069593,                   0,             0.87462,             0.77907,             0.82865,             0.39091,            0.040429,           0.0066428,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.028821,           0.0065033,                   0,               0.834,             0.75946,              0.8223,             0.39765,            0.039872,           0.0066557,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.028926,           0.0066533,                   0,             0.84928,             0.76744,             0.79263,                0.38,            0.040093,           0.0064973,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.028426,           0.0066281,                   0,             0.84378,             0.78505,             0.81065,             0.41539,            0.039035,           0.0065127,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.028677,           0.0065417,                   0,             0.83192,             0.77699,             0.82529,             0.39651,            0.038041,            0.006645,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.028856,           0.0066333,                   0,             0.82375,             0.78801,             0.80214,             0.38387,            0.040688,           0.0067949,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.027856,           0.0067622,                   0,              0.8922,             0.72178,             0.80169,             0.38936,            0.040732,           0.0070139,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.027251,           0.0064686,                   0,             0.87399,             0.76616,             0.84683,              0.4028,            0.040489,           0.0066381,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.027182,           0.0065743,                   0,             0.85102,              0.7907,             0.82092,             0.39725,            0.039903,           0.0063291,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.027793,           0.0063512,                   0,             0.88157,             0.77897,             0.82416,             0.40144,            0.039992,           0.0065913,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.027406,           0.0064198,                   0,             0.88182,              0.7809,             0.83781,             0.40971,            0.039722,           0.0068068,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.026981,           0.0064903,                   0,             0.87731,              0.7907,             0.86741,             0.40879,            0.041774,           0.0067936,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.027034,           0.0063369,                   0,             0.79526,             0.78488,             0.80729,             0.40963,            0.041544,            0.006468,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.026238,           0.0065567,                   0,             0.89366,             0.78173,             0.83922,             0.39187,             0.04022,           0.0066712,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.026124,           0.0060609,                   0,             0.81013,             0.81863,             0.82427,             0.40581,            0.039311,           0.0066527,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.025362,           0.0060747,                   0,             0.87966,             0.76744,             0.82717,             0.39606,            0.039133,           0.0066675,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.026116,           0.0062246,                   0,             0.84924,             0.81876,             0.82703,             0.40972,            0.038323,           0.0065923,                   0,            0.006634,            0.006634,            0.006634
                  53,             0.02562,           0.0060761,                   0,              0.8777,             0.76744,             0.81757,             0.38898,            0.040845,           0.0066297,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.025704,           0.0061576,                   0,             0.88004,             0.81043,             0.84735,             0.40673,             0.03986,           0.0063973,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.026214,            0.006165,                   0,             0.90706,             0.74419,             0.81503,             0.38869,            0.039944,           0.0064243,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.024831,           0.0061657,                   0,              0.8115,             0.77907,             0.79002,             0.38907,             0.04082,           0.0065134,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.025275,           0.0063471,                   0,              0.8723,             0.76163,             0.81004,               0.395,            0.039654,           0.0064213,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.024349,           0.0059297,                   0,             0.81055,                0.75,             0.79941,             0.37377,             0.04005,           0.0065276,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.024608,           0.0061731,                   0,             0.83175,             0.81395,             0.81085,             0.39521,            0.039038,           0.0065958,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.024891,           0.0060998,                   0,             0.90281,                0.75,               0.837,              0.4025,            0.039349,            0.006628,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.025475,           0.0060421,                   0,             0.86109,             0.77326,             0.81397,             0.41127,            0.039769,           0.0064201,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.024518,           0.0064081,                   0,             0.86308,              0.7907,             0.82658,             0.41022,            0.039969,           0.0064511,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.024498,           0.0059541,                   0,             0.84869,             0.76744,              0.8152,             0.41319,            0.040087,           0.0065301,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.024447,           0.0059852,                   0,             0.85187,             0.79651,             0.83393,             0.41137,            0.038932,           0.0066062,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.023151,            0.005958,                   0,             0.83895,             0.77907,             0.80083,             0.39736,            0.038796,           0.0067974,                   0,            0.005776,            0.005776,            0.005776
                  66,             0.02326,           0.0060838,                   0,             0.83206,             0.80233,             0.79677,               0.399,            0.038631,           0.0067505,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.023927,           0.0059531,                   0,             0.85957,              0.8185,             0.83617,              0.4228,              0.0381,           0.0068893,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.023875,           0.0060233,                   0,             0.85325,             0.81129,             0.85673,             0.43145,            0.037454,           0.0066785,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.022746,           0.0058586,                   0,             0.88969,             0.80814,             0.83421,             0.41065,            0.037501,           0.0066387,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.022634,           0.0058259,                   0,             0.86881,             0.80233,             0.83803,             0.39501,            0.039751,           0.0067238,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.023216,           0.0055414,                   0,             0.89646,             0.81395,             0.81592,             0.39679,            0.039762,            0.007007,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.022722,           0.0055699,                   0,             0.89735,             0.81318,             0.82748,             0.40393,            0.037758,           0.0066673,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.022376,           0.0058483,                   0,             0.87661,             0.81395,              0.8406,             0.40131,            0.037706,           0.0067829,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.023236,            0.005705,                   0,             0.86603,             0.78488,             0.81737,             0.40215,            0.038364,           0.0069352,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.023047,           0.0057057,                   0,             0.85682,             0.80023,             0.85145,             0.40406,            0.038179,           0.0067934,                   0,            0.005116,            0.005116,            0.005116
